[2025-09-20T19:04:36.579+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-09-20T19:04:36.610+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Orders scheduled__2024-01-02T00:00:00+00:00 [queued]>
[2025-09-20T19:04:36.630+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Orders scheduled__2024-01-02T00:00:00+00:00 [queued]>
[2025-09-20T19:04:36.632+0000] {taskinstance.py:2867} INFO - Starting attempt 2 of 3
[2025-09-20T19:08:00.962+0000] {01_Bronce.py:223} INFO - Processing chunk 25 with 15000 rows
[2025-09-20T19:08:06.260+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 375,000
[2025-09-20T19:08:06.669+0000] {01_Bronce.py:223} INFO - Processing chunk 26 with 15000 rows
[2025-09-20T19:08:12.673+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 390,000
[2025-09-20T19:08:13.065+0000] {01_Bronce.py:223} INFO - Processing chunk 27 with 15000 rows
[2025-09-20T19:08:19.830+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 405,000
[2025-09-20T19:08:20.069+0000] {01_Bronce.py:223} INFO - Processing chunk 28 with 15000 rows
[2025-09-20T19:08:22.995+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 420,000
[2025-09-20T19:08:23.288+0000] {01_Bronce.py:223} INFO - Processing chunk 29 with 15000 rows
[2025-09-20T19:08:26.267+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 435,000
[2025-09-20T19:08:26.547+0000] {01_Bronce.py:223} INFO - Processing chunk 30 with 15000 rows
[2025-09-20T19:08:29.742+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 450,000
[2025-09-20T19:08:30.016+0000] {01_Bronce.py:223} INFO - Processing chunk 31 with 15000 rows
[2025-09-20T19:08:33.349+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 465,000
[2025-09-20T19:08:33.584+0000] {01_Bronce.py:223} INFO - Processing chunk 32 with 15000 rows
[2025-09-20T19:08:36.581+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 480,000
[2025-09-20T19:08:36.849+0000] {01_Bronce.py:223} INFO - Processing chunk 33 with 15000 rows
[2025-09-20T19:08:39.938+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 495,000
[2025-09-20T19:08:40.156+0000] {01_Bronce.py:223} INFO - Processing chunk 34 with 15000 rows
[2025-09-20T19:08:43.193+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 510,000
[2025-09-20T19:08:43.472+0000] {01_Bronce.py:223} INFO - Processing chunk 35 with 15000 rows
[2025-09-20T19:08:46.959+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 525,000
[2025-09-20T19:08:47.217+0000] {01_Bronce.py:223} INFO - Processing chunk 36 with 15000 rows
[2025-09-20T19:08:50.597+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 540,000
[2025-09-20T19:08:50.822+0000] {01_Bronce.py:223} INFO - Processing chunk 37 with 15000 rows
[2025-09-20T19:08:57.792+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 555,000
