[2025-09-20T19:47:09.187+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-09-20T19:47:09.214+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Invoices scheduled__2024-01-01T00:00:00+00:00 [queued]>
[2025-09-20T19:47:09.226+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Invoices scheduled__2024-01-01T00:00:00+00:00 [queued]>
[2025-09-20T19:47:09.227+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 3
[2025-09-20T19:49:37.678+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 20 with 15000 rows
[2025-09-20T19:49:42.917+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 300,000
[2025-09-20T19:49:43.258+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 21 with 15000 rows
[2025-09-20T19:49:48.323+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 315,000
[2025-09-20T19:49:48.552+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 22 with 15000 rows
[2025-09-20T19:49:54.264+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 330,000
[2025-09-20T19:49:54.727+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 23 with 15000 rows
[2025-09-20T19:50:00.616+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 345,000
[2025-09-20T19:50:00.908+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 24 with 15000 rows
[2025-09-20T19:50:09.530+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 360,000
[2025-09-20T19:50:09.818+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 25 with 15000 rows
[2025-09-20T19:50:14.166+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 375,000
[2025-09-20T19:50:14.435+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 26 with 15000 rows
[2025-09-20T19:50:18.441+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 390,000
