[2025-09-20T19:47:09.180+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-09-20T19:47:09.211+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Budget scheduled__2024-01-01T00:00:00+00:00 [queued]>
[2025-09-20T19:47:09.225+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Budget scheduled__2024-01-01T00:00:00+00:00 [queued]>
[2025-09-20T19:47:09.226+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 3
[2025-09-20T19:50:09.320+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,025,000
[2025-09-20T19:50:09.569+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 42 with 25000 rows
[2025-09-20T19:50:12.228+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,050,000
[2025-09-20T19:50:12.466+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 43 with 25000 rows
[2025-09-20T19:50:14.720+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,075,000
[2025-09-20T19:50:14.921+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 44 with 25000 rows
[2025-09-20T19:50:17.244+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,100,000
[2025-09-20T19:50:17.458+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 45 with 25000 rows
[2025-09-20T19:50:19.793+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,125,000
[2025-09-20T19:50:20.052+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 46 with 25000 rows
[2025-09-20T19:50:22.785+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,150,000
[2025-09-20T19:50:23.053+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 47 with 25000 rows
[2025-09-20T19:50:25.903+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,175,000
[2025-09-20T19:50:26.113+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 48 with 25000 rows
[2025-09-20T19:50:28.648+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,200,000
[2025-09-20T19:50:28.872+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 49 with 25000 rows
[2025-09-20T19:50:31.732+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,225,000
[2025-09-20T19:50:31.945+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 50 with 25000 rows
[2025-09-20T19:50:34.778+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,250,000
[2025-09-20T19:50:35.026+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 51 with 25000 rows
[2025-09-20T19:50:37.835+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,275,000
[2025-09-20T19:50:38.061+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 52 with 25000 rows
[2025-09-20T19:50:44.787+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,300,000
[2025-09-20T19:50:45.030+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 53 with 25000 rows
[2025-09-20T19:50:48.175+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,325,000
[2025-09-20T19:50:48.472+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 54 with 25000 rows
[2025-09-20T19:50:51.853+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,350,000
[2025-09-20T19:50:52.151+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 55 with 25000 rows
[2025-09-20T19:50:56.099+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,375,000
[2025-09-20T19:50:56.425+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 56 with 25000 rows
[2025-09-20T19:51:00.365+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,400,000
[2025-09-20T19:51:00.597+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 57 with 25000 rows
[2025-09-20T19:51:03.113+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,425,000
[2025-09-20T19:51:03.402+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 58 with 25000 rows
[2025-09-20T19:51:05.980+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,450,000
[2025-09-20T19:51:06.246+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 59 with 25000 rows
[2025-09-20T19:51:08.702+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,475,000
[2025-09-20T19:51:08.924+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 60 with 25000 rows
[2025-09-20T19:51:11.844+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,500,000
[2025-09-20T19:51:12.147+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 61 with 25000 rows
[2025-09-20T19:51:14.561+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,525,000
[2025-09-20T19:51:14.793+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 62 with 25000 rows
[2025-09-20T19:51:20.946+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,550,000
[2025-09-20T19:51:21.217+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 63 with 25000 rows
[2025-09-20T19:51:23.895+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,575,000
[2025-09-20T19:51:24.157+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 64 with 25000 rows
[2025-09-20T19:51:26.783+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,600,000
[2025-09-20T19:51:27.003+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 65 with 25000 rows
